LANGUAGE	aii	am	ar	bm	cy	et	eu	fi	fo	gl	gun	he	hsb	hu	hy	id	kk	kmr	ko	kpv	mt	myv	sme	ta	te	th	tl	tr	ug	vi	wo	yo	yue
kmr	0.5814	0.5376	0.7480666666666665	0.6057666666666667	0.6455666666666666	0.6514	0.5762333333333333	0.5704333333333333	0.64425	0.5943333333333334	0.72065	0.5579666666666667	0.5772333333333334	0.5579333333333333	0.4958666666666667	0.5662333333333334	0.6744	1.0	0.6633999999999999	0.5869000000000001	0.6152833333333333	0.6480666666666667	0.6814	0.6251333333333333	0.5760166666666666	0.6089666666666667	0.6088666666666668	0.53855	0.7210333333333333	0.6098666666666667	0.58885	0.6355166666666666	0.6643
ko	0.64745	0.6157	0.7474499999999998	0.6592166666666667	0.7507833333333335	0.67245	0.62705	0.5362666666666666	0.7341166666666666	0.6997666666666666	0.7691	0.6482666666666667	0.64745	0.5616166666666667	0.5604833333333333	0.5867833333333333	0.7222666666666666	0.6633999999999999	1.0	0.6132333333333333	0.7072833333333333	0.6841166666666667	0.6824499999999999	0.6079333333333333	0.5767666666666668	0.5657833333333334	0.5595	0.5831166666666666	0.6688000000000001	0.5708833333333333	0.6634333333333333	0.6833166666666667	0.5447166666666667
kpv	0.6485666666666666	0.55735	0.7818999999999999	0.5814666666666666	0.6802333333333334	0.5402333333333335	0.53795	0.4453833333333333	0.6719	0.6185	0.7220666666666666	0.6413166666666666	0.6319	0.39504999999999996	0.5469833333333333	0.55915	0.7508666666666667	0.5869000000000001	0.6132333333333333	1.0	0.63335	0.5885666666666666	0.5785666666666667	0.635	0.5638	0.58905	0.6041333333333333	0.5387666666666667	0.7308666666666667	0.59285	0.5731833333333333	0.6121833333333334	0.6031166666666667
mt	0.4913666666666667	0.5405833333333334	0.7246999999999999	0.623	0.6230333333333333	0.6313666666666666	0.6368166666666667	0.6193166666666666	0.6480333333333332	0.5338	0.6098333333333333	0.4603999999999999	0.5747	0.6037333333333333	0.6259166666666666	0.66415	0.7944999999999999	0.6152833333333333	0.7072833333333333	0.63335	1.0	0.6480333333333332	0.6480333333333332	0.5539333333333333	0.6906500000000001	0.6878333333333334	0.6576833333333333	0.6321833333333333	0.7742833333333333	0.7206	0.6716333333333333	0.6205833333333334	0.7111000000000001
myv	0.43836666666666674	0.6530666666666667	0.5883666666666666	0.6917166666666666	0.4617	0.29281666666666667	0.6783333333333333	0.5782166666666666	0.46670000000000006	0.5892333333333333	0.6506	0.5471666666666667	0.43836666666666674	0.5213833333333334	0.6099833333333334	0.6962833333333335	0.6198333333333333	0.6480666666666667	0.6841166666666667	0.5885666666666666	0.6480333333333332	1.0	0.25281666666666663	0.5666333333333333	0.6403	0.7059833333333333	0.7312333333333334	0.6253000000000001	0.5379499999999999	0.6968166666666668	0.7043833333333334	0.7142333333333334	0.6800166666666666
sme	0.45669999999999994	0.6680666666666667	0.5900333333333333	0.6617166666666666	0.44336666666666663	0.2894833333333333	0.6766666666666667	0.53655	0.44836666666666664	0.5942333333333333	0.6489333333333333	0.5671666666666666	0.44003333333333333	0.5197166666666666	0.6333166666666666	0.7129500000000001	0.6365	0.6814	0.6824499999999999	0.5785666666666667	0.6480333333333332	0.25281666666666663	1.0	0.5816333333333333	0.6536333333333334	0.7159833333333334	0.7312333333333334	0.6403	0.5296166666666667	0.7068166666666666	0.6827166666666667	0.7142333333333334	0.6900166666666667
ta	0.5299666666666667	0.5464666666666668	0.6633	0.6512166666666667	0.6266333333333333	0.5816333333333333	0.6374833333333333	0.6304166666666667	0.6199666666666667	0.5596833333333333	0.6135166666666666	0.5549166666666667	0.5633	0.6070833333333333	0.5968166666666667	0.6085666666666667	0.7231000000000001	0.6251333333333333	0.6079333333333333	0.635	0.5539333333333333	0.5666333333333333	0.5816333333333333	1.0	0.42395	0.6263166666666667	0.6066666666666667	0.6070833333333333	0.62455	0.6541333333333333	0.6955833333333333	0.6820333333333334	0.6340333333333333
te	0.6169666666666667	0.52515	0.7503000000000001	0.6054833333333333	0.7186333333333333	0.6519666666666667	0.5412333333333333	0.5490166666666667	0.7119666666666666	0.66085	0.7498	0.6552333333333333	0.6336333333333334	0.5282666666666667	0.5745333333333335	0.5762666666666667	0.7268	0.5760166666666666	0.5767666666666668	0.5638	0.6906500000000001	0.6403	0.6536333333333334	0.42395	1.0	0.5677	0.57025	0.5352166666666667	0.6651333333333334	0.60835	0.5760333333333334	0.6362666666666666	0.6015166666666667
th	0.62265	0.60035	0.7393166666666665	0.5860500000000001	0.6809833333333333	0.6793166666666667	0.6098333333333333	0.5515833333333334	0.7259833333333333	0.64635	0.70215	0.5961500000000001	0.6393166666666666	0.57705	0.6285000000000001	0.43248333333333333	0.7370333333333333	0.6089666666666667	0.5657833333333334	0.58905	0.6878333333333334	0.7059833333333333	0.7159833333333334	0.6263166666666667	0.5677	1.0	0.46799999999999997	0.6178166666666667	0.7543000000000001	0.43238333333333334	0.54065	0.5309333333333333	0.5176999999999999
tl	0.6395666666666667	0.5977333333333333	0.7395666666666666	0.6486	0.6812333333333335	0.7112333333333333	0.5772833333333334	0.5478833333333334	0.7045666666666667	0.6217833333333334	0.7603666666666666	0.6074166666666666	0.6562333333333333	0.6078333333333333	0.6188833333333333	0.39748333333333336	0.7667333333333334	0.6088666666666668	0.5595	0.6041333333333333	0.6576833333333333	0.7312333333333334	0.7312333333333334	0.6066666666666667	0.57025	0.46799999999999997	1.0	0.5957333333333333	0.7697166666666667	0.5201333333333333	0.5925666666666667	0.5998333333333333	0.5529166666666667
tr	0.5603	0.5279666666666667	0.7269666666666666	0.5914833333333334	0.6869666666666667	0.6269666666666667	0.5232833333333333	0.46058333333333334	0.6836333333333333	0.6113	0.7188	0.5654	0.5769666666666667	0.4005	0.498	0.6212166666666666	0.6413666666666666	0.53855	0.5831166666666666	0.5387666666666667	0.6321833333333333	0.6253000000000001	0.6403	0.6070833333333333	0.5352166666666667	0.6178166666666667	0.5957333333333333	1.0	0.6018333333333333	0.6352166666666667	0.5746166666666667	0.6277333333333334	0.6298666666666667
ug	0.5796166666666666	0.67055	0.7129500000000001	0.7783666666666668	0.64295	0.56295	0.7448333333333333	0.7065333333333332	0.6412833333333333	0.7571500000000001	0.86185	0.7084166666666666	0.5796166666666666	0.70935	0.6722833333333335	0.7629333333333334	0.4482666666666666	0.7210333333333333	0.6688000000000001	0.7308666666666667	0.7742833333333333	0.5379499999999999	0.5296166666666667	0.62455	0.6651333333333334	0.7543000000000001	0.7697166666666667	0.6018333333333333	1.0	0.7447833333333334	0.7975500000000001	0.8122000000000001	0.7235
vi	0.62015	0.6526	0.7368166666666666	0.6058833333333333	0.6668166666666666	0.6618166666666667	0.6478666666666667	0.60135	0.71515	0.6514	0.7448333333333333	0.6130166666666667	0.6368166666666667	0.6144333333333334	0.6236166666666667	0.4497333333333333	0.7331500000000001	0.6098666666666667	0.5708833333333333	0.59285	0.7206	0.6968166666666668	0.7068166666666666	0.6541333333333333	0.60835	0.43238333333333334	0.5201333333333333	0.6352166666666667	0.7447833333333334	1.0	0.5599000000000001	0.61755	0.5356166666666667
wo	0.6293833333333333	0.5444333333333333	0.74605	0.5437500000000001	0.61105	0.6677166666666667	0.4751166666666667	0.5319333333333334	0.6627166666666667	0.5925166666666667	0.6418	0.6059833333333333	0.6127166666666667	0.5193166666666666	0.5987833333333333	0.5563166666666667	0.7992166666666667	0.58885	0.6634333333333333	0.5731833333333333	0.6716333333333333	0.7043833333333334	0.6827166666666667	0.6955833333333333	0.5760333333333334	0.54065	0.5925666666666667	0.5746166666666667	0.7975500000000001	0.5599000000000001	1.0	0.4785	0.6615
yo	0.6559	0.59785	0.7725666666666667	0.51275	0.6659	0.6825666666666667	0.5654666666666667	0.5721333333333333	0.6842333333333332	0.5874666666666667	0.6360666666666667	0.5912499999999999	0.6392333333333333	0.5469666666666667	0.6213000000000001	0.5673	0.8088666666666667	0.6355166666666666	0.6833166666666667	0.6121833333333334	0.6205833333333334	0.7142333333333334	0.7142333333333334	0.6820333333333334	0.6362666666666666	0.5309333333333333	0.5998333333333333	0.6277333333333334	0.8122000000000001	0.61755	0.4785	1.0	0.6699999999999999
yue	0.6600166666666666	0.6336833333333333	0.7766833333333333	0.6445833333333334	0.71835	0.6516833333333333	0.6503000000000001	0.57625	0.7166833333333332	0.6516666666666667	0.7428666666666667	0.6512666666666668	0.6766833333333334	0.6038333333333333	0.6189333333333333	0.5336166666666667	0.7455166666666667	0.6643	0.5447166666666667	0.6031166666666667	0.7111000000000001	0.6800166666666666	0.6900166666666667	0.6340333333333333	0.6015166666666667	0.5176999999999999	0.5529166666666667	0.6298666666666667	0.7235	0.5356166666666667	0.6615	0.6699999999999999	1.0
